1.916666626930236816e-01,-1.026333332061767578e+00,6.933332979679107666e-02
2.020000070333480835e-01,-1.020666718482971191e+00,1.036666631698608398e-01
2.029999941587448120e-01,-1.018666625022888184e+00,1.209999993443489075e-01
2.090000063180923462e-01,-1.019666671752929688e+00,1.503333300352096558e-01
2.220000028610229492e-01,-1.015666723251342773e+00,1.366666704416275024e-01
1.946666687726974487e-01,-1.016666650772094727e+00,8.200000226497650146e-02
1.916666626930236816e-01,-1.014666676521301270e+00,9.200000017881393433e-02
1.739999949932098389e-01,-1.022333383560180664e+00,8.699999749660491943e-02
1.560000032186508179e-01,-1.018666625022888184e+00,7.699999958276748657e-02
1.319999992847442627e-01,-1.017333388328552246e+00,9.799999743700027466e-02
1.493333280086517334e-01,-1.039000034332275391e+00,1.059999987483024597e-01
1.513333320617675781e-01,-1.024333357810974121e+00,1.010000035166740417e-01
1.583333313465118408e-01,-1.042000055313110352e+00,1.000000014901161194e-01
1.553333401679992676e-01,-1.020666718482971191e+00,9.600000083446502686e-02
1.620000004768371582e-01,-1.017333388328552246e+00,9.899999946355819702e-02
1.790000051259994507e-01,-1.028333306312561035e+00,9.799999743700027466e-02
1.906666606664657593e-01,-1.036000013351440430e+00,8.600000292062759399e-02
1.860000044107437134e-01,-1.009666681289672852e+00,7.133333384990692139e-02
1.770000010728836060e-01,-1.027333378791809082e+00,8.100000023841857910e-02
1.906666606664657593e-01,-1.029999971389770508e+00,8.399999886751174927e-02
1.526666730642318726e-01,-1.015666723251342773e+00,8.966666460037231445e-02
8.799999952316284180e-02,-1.012666702270507812e+00,5.166666582226753235e-02
1.199999973177909851e-01,-1.036000013351440430e+00,8.000000379979610443e-03
1.220000013709068298e-01,-1.031333327293395996e+00,6.000000052154064178e-03
1.360000073909759521e-01,-1.020666718482971191e+00,2.933333255350589752e-02
1.650000065565109253e-01,-1.027333378791809082e+00,7.333333045244216919e-02
1.506666690111160278e-01,-1.034333348274230957e+00,9.200000017881393433e-02
1.659999936819076538e-01,-1.014999985694885254e+00,1.400000005960464478e-01
1.963333338499069214e-01,-1.016999959945678711e+00,1.519999951124191284e-01
1.946666687726974487e-01,-1.004999995231628418e+00,1.700000017881393433e-01
1.749999970197677612e-01,-1.015666723251342773e+00,1.659999936819076538e-01
1.700000017881393433e-01,-1.026999950408935547e+00,1.759999990463256836e-01
1.689999997615814209e-01,-1.014999985694885254e+00,1.700000017881393433e-01
1.829999983310699463e-01,-1.014000058174133301e+00,1.486666649580001831e-01
2.140000015497207642e-01,-1.016999959945678711e+00,1.486666649580001831e-01
2.179999947547912598e-01,-1.011999964714050293e+00,1.389999985694885254e-01
2.169999927282333374e-01,-1.016666650772094727e+00,1.230000033974647522e-01
2.319999933242797852e-01,-1.003999948501586914e+00,1.123333349823951721e-01
2.129999995231628418e-01,-1.019333362579345703e+00,1.199999973177909851e-01
2.070000022649765015e-01,-1.022333383560180664e+00,1.076666638255119324e-01
1.866666674613952637e-01,-1.029999971389770508e+00,9.000000357627868652e-02
1.560000032186508179e-01,-1.026000022888183594e+00,7.199999690055847168e-02
1.493333280086517334e-01,-1.027333378791809082e+00,8.500000089406967163e-02
1.529999971389770508e-01,-1.029999971389770508e+00,1.019999980926513672e-01
1.486666649580001831e-01,-1.026999950408935547e+00,9.799999743700027466e-02
1.309999972581863403e-01,-1.026000022888183594e+00,8.699999749660491943e-02
1.289999932050704956e-01,-1.031000018119812012e+00,8.100000023841857910e-02
1.360000073909759521e-01,-1.036000013351440430e+00,8.900000154972076416e-02
1.340000033378601074e-01,-1.024333357810974121e+00,8.900000154972076416e-02
1.420000046491622925e-01,-1.029000043869018555e+00,7.533333450555801392e-02
1.389999985694885254e-01,-1.022333383560180664e+00,3.433333337306976318e-02
1.476666629314422607e-01,-1.039000034332275391e+00,2.800000086426734924e-02
1.496666669845581055e-01,-1.011000037193298340e+00,3.833333402872085571e-02
1.376666724681854248e-01,-9.990000128746032715e-01,5.566666647791862488e-02
1.563333272933959961e-01,-1.016666650772094727e+00,5.366666615009307861e-02
1.729999929666519165e-01,-1.044000029563903809e+00,9.000000357627868652e-02
1.669999957084655762e-01,-1.018666625022888184e+00,7.900000363588333130e-02
1.780000030994415283e-01,-1.017666697502136230e+00,7.699999958276748657e-02
1.829999983310699463e-01,-1.027333378791809082e+00,9.499999880790710449e-02
1.870000064373016357e-01,-1.026999950408935547e+00,1.083333343267440796e-01
1.780000030994415283e-01,-1.031000018119812012e+00,1.046666651964187622e-01
1.809999942779541016e-01,-1.011666655540466309e+00,7.999999821186065674e-02
1.829999983310699463e-01,-1.019666671752929688e+00,7.699999958276748657e-02
1.640000045299530029e-01,-1.026999950408935547e+00,7.699999958276748657e-02
1.659999936819076538e-01,-1.034999966621398926e+00,7.500000298023223877e-02
1.860000044107437134e-01,-1.014666676521301270e+00,1.113333329558372498e-01
1.840000003576278687e-01,-1.020666718482971191e+00,1.270000040531158447e-01
